resnet_label,imagenet_a_label,name
772,4127249,safety pin
773,4131690,"saltshaker, salt shaker"
774,4133789,sandal
775,4136333,sarong
776,4141076,"sax, saxophone"
777,4141327,scabbard
778,4141975,"scale, weighing machine"
779,4146614,school bus
780,4147183,schooner
781,4149813,scoreboard
782,4152593,"screen, CRT screen"
783,4153751,screw
784,4154565,screwdriver
785,4162706,"seat belt, seatbelt"
786,4179913,sewing machine
787,4192698,"shield, buckler"
788,4200800,"shoe shop, shoe-shop, shoe store"
789,4201297,shoji
790,4204238,shopping basket
791,4204347,shopping cart
792,4208210,shovel
793,4209133,shower cap
794,4209239,shower curtain
795,4228054,ski
796,4229816,ski mask
797,4235860,sleeping bag
798,4238763,"slide rule, slipstick"
799,4239074,sliding door
800,4243546,"slot, one-armed bandit"
801,4251144,snorkel
802,4252077,snowmobile
803,4252225,"snowplow, snowplough"
804,4254120,soap dispenser
805,4254680,soccer ball
806,4254777,sock
807,4258138,"solar dish, solar collector, solar furnace"
808,4259630,sombrero
809,4263257,soup bowl
810,4264628,space bar
811,4265275,space heater
812,4266014,space shuttle
813,4270147,spatula
814,4273569,speedboat
815,4275548,"spider web, spider's web"
816,4277352,spindle
817,4285008,"sports car, sport car"
818,4286575,"spotlight, spot"
819,4296562,stage
820,4310018,steam locomotive
821,4311004,steel arch bridge
822,4311174,steel drum
823,4317175,stethoscope
824,4325704,stole
825,4326547,stone wall
826,4328186,"stopwatch, stop watch"
827,4330267,stove
828,4332243,strainer
829,4335435,"streetcar, tram, tramcar, trolley, trolley car"
830,4336792,stretcher
831,4344873,"studio couch, day bed"
832,4346328,"stupa, tope"
833,4347754,"submarine, pigboat, sub, U-boat"
834,4350905,"suit, suit of clothes"
835,4355338,sundial
836,4355933,sunglass
837,4356056,"sunglasses, dark glasses, shades"
838,4357314,"sunscreen, sunblock, sun blocker"
839,4366367,suspension bridge
840,4367480,"swab, swob, mop"
841,4370456,sweatshirt
842,4371430,"swimming trunks, bathing trunks"
843,4371774,swing
844,4372370,"switch, electric switch, electrical switch"
845,4376876,syringe
846,4380533,table lamp
847,4389033,"tank, army tank, armored combat vehicle, armoured combat vehicle"
848,4392985,tape player
849,4398044,teapot
850,4399382,"teddy, teddy bear"
851,4404412,"television, television system"
852,4409515,tennis ball
853,4417672,"thatch, thatched roof"
854,4418357,"theater curtain, theatre curtain"
855,4423845,thimble
856,4428191,"thresher, thrasher, threshing machine"
857,4429376,throne
858,4435653,tile roof
859,4442312,toaster
860,4443257,"tobacco shop, tobacconist shop, tobacconist"
861,4447861,toilet seat
862,4456115,torch
863,4458633,totem pole
864,4461696,"tow truck, tow car, wrecker"
865,4462240,toyshop
866,4465501,tractor
867,4467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
868,4476259,tray
869,4479046,trench coat
870,4482393,"tricycle, trike, velocipede"
871,4483307,trimaran
872,4485082,tripod
873,4486054,triumphal arch
874,4487081,"trolleybus, trolley coach, trackless trolley"
875,4487394,trombone
876,4493381,"tub, vat"
877,4501370,turnstile
878,4505470,typewriter keyboard
879,4507155,umbrella
880,4509417,"unicycle, monocycle"
881,4515003,"upright, upright piano"
882,4517823,"vacuum, vacuum cleaner"
883,4522168,vase
884,4523525,vault
885,4525038,velvet
886,4525305,vending machine
887,4532106,vestment
888,4532670,viaduct
889,4536866,"violin, fiddle"
890,4540053,volleyball
891,4542943,waffle iron
892,4548280,wall clock
893,4548362,"wallet, billfold, notecase, pocketbook"
894,4550184,"wardrobe, closet, press"
895,4552348,"warplane, military plane"
896,4553703,"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
897,4554684,"washer, automatic washer, washing machine"
898,4557648,water bottle
899,4560804,water jug
900,4562935,water tower
901,4579145,whiskey jug
902,4579432,whistle
903,4584207,wig
904,4589890,window screen
905,4590129,window shade
906,4591157,Windsor tie
907,4591713,wine bottle
908,4592741,wing
909,4596742,wok
910,4597913,wooden spoon
911,4599235,"wool, woolen, woollen"
912,4604644,"worm fence, snake fence, snake-rail fence, Virginia fence"
913,4606251,wreck
914,4612504,yawl
915,4613696,yurt
916,6359193,"web site, website, internet site, site"
917,6596364,comic book
918,6785654,"crossword puzzle, crossword"
919,6794110,street sign
920,6874185,"traffic light, traffic signal, stoplight"
921,7248320,"book jacket, dust cover, dust jacket, dust wrapper"
922,7565083,menu
923,7579787,plate
924,7583066,guacamole
925,7584110,consomme
926,7590611,"hot pot, hotpot"
927,7613480,trifle
928,7614500,"ice cream, icecream"
929,7615774,"ice lolly, lolly, lollipop, popsicle"
930,7684084,French loaf
931,7693725,"bagel, beigel"
932,7695742,pretzel
933,7697313,cheeseburger
934,7697537,"hotdog, hot dog, red hot"
935,7711569,mashed potato
936,7714571,head cabbage
937,7714990,broccoli
938,7715103,cauliflower
939,7716358,"zucchini, courgette"
940,7716906,spaghetti squash
941,7717410,acorn squash
942,7717556,butternut squash
943,7718472,"cucumber, cuke"
944,7718747,"artichoke, globe artichoke"
945,7720875,bell pepper
946,7730033,cardoon
947,7734744,mushroom
948,7742313,Granny Smith
949,7745940,strawberry
950,7747607,orange
951,7749582,lemon
952,7753113,fig
953,7753275,"pineapple, ananas"
954,7753592,banana
955,7754684,"jackfruit, jak, jack"
956,7760859,custard apple
957,7768694,pomegranate
958,7802026,hay
959,7831146,carbonara
960,7836838,"chocolate sauce, chocolate syrup"
961,7860988,dough
962,7871810,"meat loaf, meatloaf"
963,7873807,"pizza, pizza pie"
964,7875152,potpie
965,7880968,burrito
966,7892512,red wine
967,7920052,espresso
968,7930864,cup
969,7932039,eggnog
970,9193705,alp
971,9229709,bubble
972,9246464,"cliff, drop, drop-off"
973,9256479,coral reef
974,9288635,geyser
975,9332890,"lakeside, lakeshore"
976,9399592,"promontory, headland, head, foreland"
977,9421951,"sandbar, sand bar"
978,9428293,"seashore, coast, seacoast, sea-coast"
979,9468604,"valley, vale"
980,9472597,volcano
981,9835506,"ballplayer, baseball player"
982,10148035,"groom, bridegroom"
983,10565667,scuba diver
984,11879895,rapeseed
985,11939491,daisy
986,12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum"
987,12144580,corn
988,12267677,acorn
989,12620546,"hip, rose hip, rosehip"
990,12768682,"buckeye, horse chestnut, conker"
991,12985857,coral fungus
992,12998815,agaric
993,13037406,gyromitra
994,13040303,"stinkhorn, carrion fungus"
995,13044778,earthstar
996,13052670,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa"
997,13054560,bolete
998,13133613,"ear, spike, capitulum"
999,15075141,"toilet tissue, toilet paper, bathroom tissue"
